duration,src_bytes,dst_bytes,failed_logins,login_attempts,num_connections,same_srv_rate,diff_srv_rate,dst_host_count,packet_rate,label
120.34,40711,89305,0,1,29,0.81,0.25,6,193.1,0
72.48,32550,22336,0,3,42,0.7,0.22,9,309.46,0
143.81,33790,7670,0,3,1,0.76,0.26,9,435.88,0
1.991,438,115,0,0,493,0.49,0.98,32,2582.22,1
0.73,409,116,11,100,267,0.89,0.01,3,1032.47,1
33.09,33983,40478,0,2,3,0.91,0.19,9,198.68,0
0.88,144,191,38,60,227,0.95,0.08,2,1347.89,1
138.17,25355,73712,0,3,1,0.72,0.11,2,426.37,0
1.55,817,699,7,39,150,0.93,0.04,2,473.01,1
166.34,44803,5764,0,3,12,0.77,0.23,3,465.55,0
134.1,26260,26135,0,1,50,0.81,0.24,2,484.93,0
1.27,292,131,23,94,252,0.99,0.01,3,377.13,1
101.12,4508,74342,0,3,31,0.83,0.1,2,329.25,0
55.43,45556,8934,0,1,28,0.88,0.13,3,226.59,0
18.26,12875,68716,0,3,19,0.77,0.11,1,156.11,0
229.23,25664,20770,0,2,16,0.96,0.15,10,458.9,0
105.37,11988,18876,0,3,43,0.82,0.04,1,54.96,0
196.54,10418,11482,0,2,50,0.82,0.2,7,297.18,0
238.68,23097,4401,0,3,12,0.82,0.02,5,24.46,0
217.39,18495,50014,0,3,28,0.97,0.29,7,183.43,0
0.117,29,44,0,0,748,0.13,0.82,99,595.15,1
85.09,46885,52846,0,1,8,0.84,0.06,7,59.38,0
103.34,10723,29676,0,3,49,0.87,0.05,7,353.21,0
112.32,44868,49582,0,3,44,0.8,0.18,6,102.84,0
2.71,259,136,41,25,324,0.95,0.01,3,1604.15,1
0.033,57,6,0,0,527,0.04,0.84,50,4365.16,1
3.52,494,85,36,50,319,0.91,0.01,1,1112.82,1
1.284,208,10,0,0,401,0.32,0.88,70,2230.44,1
0.562,280,173,0,0,277,0.36,0.59,47,1229.74,1
81.07,39790,91945,0,1,27,0.95,0.03,10,67.69,0
182.43,20376,8604,0,1,20,0.96,0.25,1,116.37,0
2.03,180,232,47,35,116,0.89,0.05,1,1919.79,1
18.7,16987,50847,0,1,36,0.98,0.07,6,449.62,0
29.41,32105,13214,0,3,44,0.76,0.15,6,91.65,0
0.931,86,4,0,0,258,0.23,0.97,177,2039.18,1
265.74,11628,64880,0,2,14,0.92,0.0,2,45.09,0
0.748,252,37,0,0,231,0.38,0.53,17,540.95,1
2.28,211,53,26,62,397,0.97,0.03,2,1080.06,1
235.18,33086,98716,0,1,6,0.84,0.04,10,274.25,0
0.693,40,9,0,0,522,0.2,0.76,144,1861.85,1
53.82,12586,88505,0,3,35,0.79,0.12,7,306.36,0
8.02,446,818,26,46,137,0.96,0.09,3,315.37,1
75.45,30435,27706,0,2,48,0.92,0.26,3,90.48,0
185.68,7542,61074,0,3,4,0.97,0.21,8,15.29,0
0.913,86,48,0,0,505,0.27,0.97,165,1448.34,1
174.4,41918,76643,0,3,3,0.76,0.27,8,432.95,0
4.53,1601,755,28,46,90,1.0,0.09,4,210.41,1
215.68,13581,35901,0,2,44,0.91,0.2,5,316.46,0
178.59,40229,62860,0,1,8,0.91,0.11,4,411.16,0
2.46,268,70,32,81,435,0.81,0.06,2,1074.43,1
74.71,46700,5369,0,1,16,0.92,0.22,7,75.15,0
89.03,49294,53244,0,1,13,0.88,0.14,10,431.68,0
5.13,814,999,19,45,123,0.92,0.06,5,380.87,1
242.62,12702,11374,0,3,2,0.89,0.2,4,26.29,0
0.873,457,173,0,0,56,0.35,0.96,84,2044.21,1
1.89,283,371,15,49,107,0.95,0.1,4,412.95,1
255.2,18727,53266,0,2,5,0.99,0.06,10,402.97,0
2.87,85,233,32,99,97,1.0,0.1,3,731.54,1
0.831,256,27,0,0,240,0.31,0.75,50,2085.44,1
222.65,33994,44649,0,1,50,0.75,0.21,6,307.2,0
3.37,73,82,17,11,193,0.83,0.08,1,1644.58,1
0.77,383,126,0,0,242,0.1,0.76,57,2596.18,1
209.53,8431,42283,0,3,37,0.99,0.07,10,308.6,0
42.49,40502,62164,0,3,47,0.95,0.23,1,386.03,0
3.57,270,182,20,92,112,0.85,0.04,1,527.78,1
141.67,11426,3706,0,3,42,0.89,0.03,3,472.45,0
231.33,17444,85444,0,1,50,0.87,0.19,1,254.04,0
4.38,185,188,16,92,444,0.92,0.08,2,473.44,1
3.29,371,290,15,33,401,0.81,0.06,2,163.89,1
2.15,353,82,25,39,466,0.85,0.0,3,128.38,1
297.12,48565,26078,0,1,37,0.83,0.07,6,89.4,0
160.41,8532,29655,0,2,5,0.98,0.27,8,212.63,0
1.44,140,213,13,42,235,0.83,0.08,3,1119.83,1
3.24,197,69,44,95,364,0.89,0.1,2,1465.72,1
2.44,457,137,15,35,201,0.88,0.1,1,702.95,1
0.74,147,276,7,82,285,0.81,0.06,3,1129.81,1
30.79,34330,77080,0,3,50,0.81,0.17,10,306.34,0
267.71,44452,6181,0,2,16,0.7,0.23,9,282.34,0
0.719,63,42,0,0,936,0.06,0.75,197,1075.41,1
4.65,426,217,44,83,171,0.96,0.08,3,1967.89,1
182.05,3909,89186,0,3,21,0.96,0.22,3,419.98,0
70.44,18946,34967,0,1,2,0.88,0.11,3,468.72,0
0.746,64,26,0,0,449,0.13,0.88,64,2231.89,1
0.285,124,10,0,0,85,0.35,0.77,23,2687.99,1
279.72,36069,60558,0,3,36,0.72,0.2,5,58.12,0
12.4,34918,83648,0,2,28,0.88,0.2,5,174.13,0
1.367,242,198,0,0,87,0.14,0.74,57,1185.5,1
262.36,7313,43770,0,3,32,0.96,0.09,8,475.2,0
15.26,44669,68762,0,3,12,0.76,0.17,6,276.74,0
0.588,66,34,0,0,263,0.15,0.92,227,2341.52,1
164.82,9749,53345,0,3,49,0.81,0.2,7,333.85,0
0.05,328,181,0,0,175,0.16,0.75,33,560.91,1
219.5,8966,25284,0,3,16,0.76,0.28,2,110.83,0
186.57,42738,77058,0,2,45,0.9,0.11,10,273.81,0
276.91,22143,87102,0,2,7,0.72,0.17,4,257.27,0
5.47,1580,114,12,49,142,0.98,0.07,2,55.16,1
284.64,37641,51427,0,3,3,0.75,0.1,10,118.24,0
158.99,15708,55126,0,2,4,0.99,0.04,5,55.58,0
5.67,1374,1000,7,41,120,0.95,0.09,2,341.33,1
138.57,36220,19165,0,1,18,0.72,0.08,9,425.42,0
51.87,23061,1230,0,1,35,0.76,0.22,7,92.32,0
66.43,18744,86967,0,2,39,0.83,0.2,9,353.55,0
0.404,22,24,0,0,640,0.02,0.9,192,3361.84,1
2.73,1704,294,23,18,22,0.93,0.01,2,98.55,1
1.358,468,27,0,0,189,0.12,0.62,44,1708.57,1
285.67,41973,25733,0,1,9,0.94,0.24,7,329.09,0
2.91,1306,729,4,29,156,0.99,0.05,3,292.51,1
295.88,16280,70652,0,3,9,0.73,0.28,9,357.09,0
262.93,12563,28275,0,3,47,0.8,0.14,1,90.07,0
1.418,371,34,0,0,386,0.15,0.94,44,2107.95,1
9.77,432,341,9,19,37,0.99,0.09,5,217.72,1
264.05,27028,34720,0,2,42,0.85,0.18,1,94.38,0
262.56,22532,42315,0,1,32,0.85,0.12,8,307.21,0
76.7,42202,48606,0,2,20,0.84,0.29,10,272.88,0
223.7,16329,28727,0,1,32,0.76,0.24,10,242.52,0
212.68,10021,55026,0,1,2,0.85,0.04,6,284.66,0
5.34,1439,922,15,26,131,0.9,0.03,5,216.03,1
6.54,19057,19715,0,1,8,0.81,0.11,6,345.7,0
61.8,41613,44320,0,1,42,0.94,0.11,7,247.33,0
115.68,23447,76009,0,3,46,0.86,0.2,3,212.77,0
0.606,69,13,0,0,344,0.17,0.92,88,3464.67,1
0.093,77,0,0,0,749,0.02,0.75,181,1116.07,1
0.97,468,71,0,0,151,0.35,0.8,77,1484.19,1
179.14,573,71955,0,2,13,0.82,0.17,7,132.45,0
0.527,63,50,0,0,349,0.24,0.71,177,780.62,1
0.56,94,267,6,80,188,0.8,0.02,1,1510.34,1
3.8,315,289,29,13,318,0.81,0.09,1,974.74,1
244.58,19228,36979,0,1,34,0.9,0.07,7,36.57,0
0.922,47,37,0,0,222,0.3,0.97,198,3674.55,1
179.89,1140,90781,0,1,42,0.98,0.18,1,451.71,0
271.76,32388,43290,0,1,9,0.77,0.11,10,253.9,0
0.098,96,21,0,0,382,0.11,0.94,203,1581.8,1
0.757,355,166,0,0,231,0.31,0.65,44,2080.09,1
9.26,338,611,3,22,129,0.94,0.1,1,481.62,1
299.99,46154,56940,0,2,37,0.74,0.1,9,100.6,0
147.58,21374,22368,0,1,31,0.88,0.19,3,314.37,0
0.126,380,50,0,0,188,0.47,0.64,36,968.83,1
240.35,42102,32104,0,2,50,0.84,0.22,10,172.12,0
0.179,21,32,0,0,721,0.11,0.87,176,755.63,1
0.565,465,44,0,0,383,0.45,0.75,83,704.72,1
6.16,1673,163,26,15,79,0.91,0.08,4,101.53,1
0.607,35,19,0,0,413,0.1,1.0,176,3600.93,1
3.6,435,139,15,89,100,0.85,0.02,2,1912.87,1
0.864,86,42,0,0,123,0.11,0.91,210,794.65,1
4.23,438,215,36,59,188,0.96,0.03,1,1289.9,1
204.25,2169,75147,0,3,8,0.76,0.13,7,84.2,0
6.0,1225,769,24,26,103,0.91,0.05,1,205.86,1
151.41,25065,39750,0,2,43,0.81,0.29,9,30.15,0
0.06,180,294,49,73,145,0.99,0.03,1,1713.78,1
1.57,93,299,22,41,224,0.91,0.0,2,1674.47,1
24.66,44309,22663,0,3,31,0.81,0.19,10,241.95,0
2.59,1176,109,13,38,146,0.99,0.07,3,113.17,1
1.32,327,70,9,81,365,0.99,0.05,1,1075.31,1
2.72,427,156,36,90,134,0.97,0.01,1,1406.11,1
0.996,28,44,0,0,550,0.29,0.88,211,4848.17,1
0.804,99,31,0,0,327,0.02,0.83,81,2065.9,1
4.5,325,242,43,68,284,0.92,0.04,2,231.32,1
57.21,4223,16653,0,1,39,0.74,0.25,1,317.19,0
4.53,80,144,43,59,271,0.94,0.06,2,392.95,1
168.42,26028,40230,0,2,35,0.9,0.13,7,155.89,0
215.5,6102,603,0,2,44,0.77,0.01,2,199.58,0
63.58,42091,41946,0,1,23,0.77,0.28,2,43.67,0
80.92,28842,86119,0,2,11,0.74,0.22,1,186.03,0
9.4,871,401,30,19,113,0.96,0.01,5,491.82,1
158.87,523,42565,0,1,29,0.82,0.3,3,188.93,0
0.9,1446,526,3,28,90,0.94,0.0,1,277.69,1
115.49,1912,74559,0,3,24,0.96,0.29,4,321.88,0
154.65,1433,43707,0,1,49,0.95,0.28,9,428.92,0
0.764,495,175,0,0,394,0.19,0.57,94,1447.4,1
61.81,27921,52389,0,2,2,0.7,0.18,5,207.27,0
0.06,36,14,0,0,199,0.12,0.8,170,2155.51,1
21.97,37052,80054,0,3,49,0.94,0.1,2,475.45,0
0.853,363,114,0,0,460,0.39,0.85,43,1850.43,1
0.139,254,133,0,0,396,0.39,0.77,100,2850.69,1
188.19,19083,84236,0,2,31,0.77,0.24,7,155.74,0
6.83,1871,916,22,29,26,0.94,0.01,4,138.35,1
128.88,17638,22889,0,3,4,0.92,0.18,6,131.28,0
0.076,81,50,0,0,580,0.18,0.98,237,3772.32,1
2.97,215,129,26,49,418,0.85,0.01,2,1781.66,1
62.97,19192,90911,0,1,27,0.9,0.04,5,128.59,0
0.342,34,29,0,0,195,0.01,0.96,154,4634.2,1
0.195,355,28,0,0,298,0.14,0.99,85,2924.63,1
40.77,18290,95701,0,1,36,1.0,0.18,3,354.28,0
0.81,375,194,0,0,150,0.23,0.64,39,2545.87,1
1.35,69,190,29,13,461,0.86,0.06,3,546.77,1
197.29,11179,47503,0,1,12,0.71,0.17,4,345.72,0
0.631,494,171,0,0,416,0.15,0.66,62,743.27,1
7.41,743,795,28,34,159,0.97,0.01,2,115.25,1
21.87,10895,32483,0,3,49,0.82,0.19,4,415.71,0
2.53,1661,372,24,22,182,0.96,0.03,4,405.06,1
1.044,402,73,0,0,469,0.34,0.8,73,1769.5,1
0.424,21,12,0,0,156,0.24,0.96,106,1785.21,1
9.0,1217,302,11,17,98,0.95,0.06,5,77.24,1
9.48,1709,158,23,46,91,0.98,0.04,1,405.7,1
131.51,8372,8912,0,1,50,0.89,0.11,10,25.87,0
0.241,30,38,0,0,953,0.23,0.76,235,4948.41,1
191.16,11526,51015,0,2,11,0.81,0.01,5,80.55,0
1.694,427,24,0,0,70,0.14,0.68,22,215.92,1
5.58,1120,854,19,5,192,0.92,0.01,1,297.43,1
2.21,464,109,45,55,130,0.96,0.1,2,1236.39,1
78.32,5673,71635,0,1,39,0.9,0.16,5,250.66,0
3.58,176,260,40,60,68,0.98,0.09,1,504.53,1
63.71,42009,78369,0,1,4,0.94,0.07,3,395.62,0
2.51,1621,350,16,44,90,0.91,0.04,1,275.64,1
173.24,19995,92621,0,3,5,0.98,0.29,9,489.81,0
288.52,48795,27412,0,3,3,0.74,0.25,6,284.01,0
0.622,93,36,0,0,482,0.2,0.97,152,3038.04,1
0.294,97,40,0,0,956,0.18,0.88,242,799.43,1
0.749,330,121,0,0,93,0.29,0.51,67,1210.37,1
144.7,40645,41485,0,2,7,0.7,0.15,8,106.26,0
9.57,1729,780,15,35,113,1.0,0.04,5,248.79,1
33.46,26830,35897,0,2,42,0.88,0.27,7,151.25,0
0.061,286,191,0,0,422,0.33,0.87,95,884.11,1
229.96,1833,691,0,3,38,0.75,0.22,9,452.17,0
121.86,7105,34740,0,1,38,0.98,0.27,4,50.18,0
166.87,41758,75094,0,1,15,0.88,0.18,10,239.69,0
223.73,31311,58856,0,2,33,0.88,0.14,4,473.25,0
0.84,65,28,0,0,722,0.26,0.77,141,2403.88,1
62.33,24213,80145,0,3,28,0.87,0.1,5,168.86,0
256.94,7101,9855,0,1,11,0.8,0.14,10,240.24,0
0.063,23,39,0,0,675,0.19,0.84,169,1648.67,1
201.26,8995,4489,0,1,13,0.79,0.09,5,209.22,0
145.94,46125,97261,0,2,8,0.78,0.01,3,474.78,0
106.52,45870,55794,0,2,33,0.93,0.21,8,396.99,0
262.77,17361,65712,0,1,33,0.97,0.26,5,422.42,0
250.4,16829,71853,0,3,7,0.78,0.09,1,38.96,0
177.51,26255,41303,0,1,6,0.86,0.2,6,256.17,0
0.37,348,88,10,40,214,0.82,0.07,3,239.94,1
219.77,34364,85467,0,1,5,0.99,0.04,10,204.99,0
70.86,11504,61705,0,2,15,0.97,0.04,4,310.38,0
0.932,33,50,0,0,324,0.28,0.94,51,3254.32,1
0.076,408,79,0,0,221,0.18,0.8,100,1970.19,1
28.9,8216,4475,0,3,1,0.79,0.16,7,362.8,0
0.331,34,5,0,0,242,0.18,0.86,58,3847.71,1
182.48,12889,76571,0,3,15,0.93,0.23,4,21.05,0
81.56,37427,87987,0,1,37,0.92,0.18,4,299.56,0
1.42,431,94,18,100,254,0.81,0.08,2,1071.54,1
0.498,35,1,0,0,111,0.05,0.77,69,3461.1,1
2.22,434,174,49,70,78,0.91,0.06,3,414.31,1
182.24,49421,45239,0,2,41,1.0,0.25,1,88.89,0
182.6,45235,66352,0,2,12,0.89,0.25,1,162.47,0
288.2,42644,41686,0,1,46,0.99,0.21,10,395.63,0
137.0,33021,67273,0,3,17,0.96,0.22,10,288.27,0
269.32,37177,15607,0,2,34,1.0,0.2,8,392.98,0
1.94,1444,632,21,35,85,0.98,0.03,5,395.71,1
12.27,39901,22404,0,3,35,0.84,0.2,9,221.58,0
0.373,77,29,0,0,198,0.2,0.99,81,1300.71,1
133.86,9840,4641,0,3,40,0.89,0.19,8,211.88,0
287.38,2230,97281,0,2,49,0.98,0.08,3,441.68,0
269.57,34192,18256,0,3,36,0.93,0.25,5,415.73,0
0.3,19199,76224,0,3,16,0.94,0.17,2,76.43,0
0.966,440,159,0,0,431,0.27,0.83,67,2249.07,1
0.696,305,45,0,0,439,0.14,0.98,12,923.4,1
0.594,79,21,0,0,275,0.06,0.97,55,4446.53,1
1.82,233,862,7,47,81,0.92,0.01,1,230.01,1
1.49,454,149,42,81,71,0.81,0.03,2,1027.83,1
155.69,38144,90233,0,3,15,0.83,0.12,10,348.31,0
0.454,44,47,0,0,687,0.04,0.91,187,1683.9,1
3.59,120,103,40,20,463,0.86,0.02,2,1800.48,1
0.38,459,139,28,11,161,0.82,0.07,3,965.85,1
2.47,451,159,5,31,138,0.87,0.03,1,1355.41,1
0.214,317,169,0,0,415,0.38,0.56,45,1576.55,1
0.545,56,8,0,0,944,0.11,0.76,112,3995.78,1
253.75,24749,43297,0,3,16,0.95,0.05,8,332.84,0
168.4,1566,63079,0,2,6,0.9,0.27,10,469.7,0
274.9,44148,67979,0,1,44,0.76,0.21,1,126.63,0
121.11,34693,61752,0,2,28,0.93,0.02,2,321.89,0
209.97,12057,89891,0,2,28,0.92,0.3,3,77.36,0
62.23,9549,98699,0,3,26,0.98,0.09,10,127.83,0
0.8,1495,794,13,16,155,0.93,0.1,2,64.4,1
1.842,238,51,0,0,89,0.1,0.65,20,935.73,1
70.62,29713,8422,0,1,34,0.86,0.06,5,215.61,0
279.92,29796,87752,0,3,42,0.99,0.05,2,203.24,0
29.36,45158,69872,0,3,49,0.97,0.1,4,197.2,0
1.588,248,58,0,0,92,0.33,0.96,97,1737.12,1
126.0,1016,65778,0,1,24,0.82,0.27,7,422.3,0
15.44,36919,25613,0,2,36,0.79,0.12,8,384.56,0
263.9,18335,98667,0,2,17,0.95,0.14,9,35.52,0
244.07,9810,3766,0,2,30,0.74,0.12,10,158.35,0
68.11,39484,52107,0,3,48,0.83,0.27,7,138.35,0
48.18,13141,62922,0,3,18,0.74,0.15,8,401.91,0
4.98,441,262,10,65,426,0.84,0.06,2,889.91,1
1.141,319,197,0,0,327,0.31,0.88,34,1132.15,1
0.227,351,169,0,0,247,0.3,0.68,30,2917.73,1
229.35,47030,58549,0,1,48,0.9,0.1,6,352.06,0
74.11,22183,42167,0,3,49,0.97,0.03,9,387.51,0
4.83,416,262,14,73,278,0.99,0.01,2,955.89,1
1.02,438,163,0,0,181,0.24,0.9,59,1786.35,1
4.42,76,212,25,80,470,0.85,0.03,1,340.33,1
2.48,334,159,33,56,252,0.89,0.04,1,1566.84,1
8.49,813,150,20,5,186,0.95,0.06,1,154.84,1
2.98,191,297,21,41,150,0.97,0.05,3,402.19,1
3.64,1313,421,6,49,108,0.97,0.06,5,173.34,1
4.72,85,225,15,20,455,0.84,0.1,3,714.73,1
32.8,1115,5688,0,3,37,0.81,0.26,3,486.98,0
8.91,1654,558,5,42,20,0.97,0.07,2,273.47,1
238.64,20242,64423,0,2,8,0.91,0.1,2,331.76,0
260.6,31521,8980,0,2,22,0.76,0.28,3,15.42,0
0.736,92,0,0,0,377,0.12,0.82,67,3999.83,1
261.39,9753,11116,0,1,7,0.84,0.08,10,139.84,0
168.83,49958,56212,0,2,11,0.76,0.19,8,134.85,0
1.86,334,66,38,29,334,0.85,0.02,3,1578.03,1
1.401,439,187,0,0,53,0.33,0.56,80,2785.56,1
0.155,100,27,0,0,289,0.16,0.97,165,2318.72,1
0.958,94,8,0,0,613,0.19,0.82,198,925.01,1
0.194,129,175,0,0,179,0.39,0.92,84,842.77,1
21.98,4026,20819,0,2,27,0.85,0.06,10,80.4,0
0.89,1470,120,11,17,152,1.0,0.09,2,194.57,1
238.91,20464,66819,0,2,41,0.97,0.26,3,244.42,0
8.89,1397,463,20,39,38,0.92,0.04,5,287.05,1
0.132,33,45,0,0,913,0.18,0.84,181,916.9,1
147.96,9579,37279,0,2,9,0.8,0.05,6,151.78,0
0.234,277,21,0,0,288,0.46,0.78,40,477.67,1
271.11,7529,87114,0,1,29,0.73,0.01,7,241.68,0
200.12,33939,56937,0,2,29,0.88,0.18,5,233.92,0
137.63,3728,36123,0,1,23,0.7,0.26,4,96.57,0
188.46,19229,87480,0,1,45,0.92,0.27,8,211.53,0
59.9,22230,72411,0,1,43,0.82,0.16,3,472.17,0
124.96,26051,91140,0,1,36,0.95,0.24,8,87.94,0
1.802,118,87,0,0,389,0.4,0.65,69,2096.18,1
0.08,455,181,48,94,321,0.92,0.01,3,1674.04,1
0.531,86,4,0,0,624,0.03,0.82,150,3219.65,1
161.06,8908,79171,0,3,1,0.79,0.14,5,72.82,0
52.09,10381,45778,0,1,16,0.76,0.0,3,129.89,0
0.49,170,188,0,0,330,0.37,0.56,66,2250.42,1
132.85,24958,59477,0,3,10,0.89,0.09,2,338.15,0
75.05,35673,38874,0,2,37,0.82,0.18,6,141.69,0
131.94,6156,64310,0,2,38,0.81,0.23,9,230.34,0
137.04,2611,4115,0,3,8,0.75,0.27,3,391.41,0
0.71,41727,14100,0,2,19,0.98,0.21,5,40.02,0
0.865,91,39,0,0,334,0.27,0.78,71,2640.47,1
46.26,8586,42058,0,3,37,0.76,0.3,1,397.36,0
2.86,310,395,10,40,146,0.91,0.03,1,493.12,1
0.213,42,11,0,0,133,0.15,0.71,123,1476.45,1
274.66,9150,22146,0,2,48,0.73,0.09,3,23.38,0
2.56,254,64,19,76,463,0.99,0.06,2,285.81,1
8.94,32538,95607,0,1,22,0.73,0.28,10,353.46,0
0.166,463,44,0,0,58,0.25,0.52,39,1831.13,1
0.1,280,242,23,53,494,0.88,0.07,3,1518.23,1
1.33,370,76,12,95,81,0.98,0.09,2,1503.84,1
279.49,44610,30504,0,2,42,0.82,0.08,10,296.18,0
48.53,6146,64531,0,3,35,0.95,0.03,4,137.94,0
7.14,377,116,19,7,33,0.96,0.02,4,452.09,1
275.43,9025,94739,0,3,45,1.0,0.12,1,348.72,0
253.55,8353,52914,0,3,1,0.84,0.23,9,235.51,0
120.9,29904,72903,0,1,30,0.94,0.04,7,171.58,0
60.72,46459,63727,0,2,22,0.94,0.27,3,480.06,0
29.06,44204,84638,0,3,10,0.78,0.18,10,207.38,0
0.526,87,43,0,0,876,0.13,0.73,167,3448.59,1
0.03,309,219,45,93,474,0.98,0.08,2,974.75,1
230.28,9376,73533,0,1,39,0.73,0.12,7,118.35,0
0.172,61,38,0,0,133,0.18,0.92,127,4436.64,1
0.515,53,40,0,0,257,0.24,0.83,153,4839.84,1
1.03,482,126,44,21,120,0.93,0.05,1,1178.24,1
0.945,302,107,0,0,473,0.31,0.62,65,2536.55,1
253.08,14308,67090,0,1,20,0.7,0.25,6,111.11,0
5.26,26292,86597,0,3,18,0.94,0.19,2,385.54,0
156.81,18175,27923,0,2,4,0.82,0.11,9,378.7,0
0.9,462,190,47,73,69,0.96,0.03,1,783.97,1
3.93,341,261,21,16,428,0.86,0.04,2,167.26,1
3.4,1498,253,9,47,91,0.91,0.09,1,134.48,1
226.08,24849,98638,0,3,32,0.79,0.15,1,290.79,0
170.51,39056,4785,0,1,10,0.86,0.01,6,286.13,0
222.9,33097,91546,0,1,4,0.94,0.09,2,236.1,0
6.94,1316,590,23,18,161,0.93,0.09,2,211.51,1
88.58,7023,90288,0,2,24,0.9,0.16,1,447.33,0
92.6,23669,67315,0,2,30,0.73,0.29,8,383.2,0
292.63,43963,17432,0,1,40,0.74,0.02,3,32.65,0
2.23,368,969,24,45,190,0.92,0.07,1,65.1,1
5.51,3212,66605,0,2,37,0.87,0.02,5,150.02,0
202.3,32000,98969,0,1,31,0.79,0.08,7,208.38,0
296.73,35705,68823,0,2,9,0.96,0.14,4,406.32,0
190.15,23431,76468,0,1,41,0.75,0.21,7,426.9,0
199.58,19856,68387,0,1,10,0.93,0.08,2,54.15,0
0.105,46,2,0,0,768,0.11,0.91,198,1176.77,1
191.62,34365,58716,0,3,32,0.8,0.14,1,316.97,0
0.073,82,32,0,0,170,0.0,0.7,78,3082.31,1
37.25,12309,73307,0,1,26,0.88,0.2,4,152.29,0
0.158,44,4,0,0,739,0.01,0.83,228,4108.39,1
284.09,22537,29568,0,2,14,0.77,0.08,2,328.5,0
4.19,252,142,34,34,421,0.83,0.06,2,1950.89,1
1.36,133,178,0,0,368,0.13,0.79,58,1671.32,1
198.28,48741,61349,0,2,41,0.86,0.18,7,467.97,0
189.05,39280,46909,0,3,31,0.79,0.07,5,215.6,0
65.67,32776,66426,0,3,14,0.96,0.11,8,189.37,0
54.23,46261,24470,0,2,28,0.97,0.26,6,146.34,0
120.56,25691,62700,0,1,35,0.93,0.2,1,467.61,0
0.941,69,20,0,0,203,0.26,0.79,128,2392.9,1
8.91,1932,153,22,24,144,0.94,0.03,4,251.36,1
188.63,23800,75774,0,1,46,0.72,0.2,5,492.76,0
2.96,381,80,17,78,380,0.89,0.09,3,1272.0,1
122.93,1243,56537,0,1,48,0.82,0.25,2,338.96,0
180.07,15407,13171,0,1,7,0.84,0.15,7,56.43,0
198.27,22027,76718,0,1,21,0.74,0.04,4,238.65,0
2.09,206,165,17,18,383,0.82,0.04,3,720.95,1
290.85,1770,6380,0,1,25,0.86,0.18,5,49.25,0
9.45,693,313,29,24,90,0.94,0.06,3,443.36,1
0.136,44,43,0,0,291,0.21,0.84,58,4272.99,1
137.07,39039,5268,0,3,38,0.86,0.2,4,220.68,0
0.033,23,39,0,0,760,0.02,0.92,245,2567.96,1
218.82,31200,73531,0,1,48,0.72,0.15,9,347.4,0
2.27,262,409,23,39,134,0.96,0.07,2,274.27,1
3.01,448,75,48,57,495,0.99,0.02,3,1549.34,1
